1p,2p,3p,1n,2n,3n,ep,en,date,time,mention,hashtag,Class
0, 0, 5, 0, 0, -1, 0, 0, '[]', '[]', '['tmcpoldametr1 disperinergi']', '[]', positive
0, 2, 0, 0, -1, -3, 0, 0, '[]', '[]', '[]', '['#bandar1 #kedir1 #gudanggaram']', negative
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['citilink']', '[]', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['miun1 citilink']', '[]', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['andysanttana']', '[]', neutral
0, 0, 1, 0, 0, 0, 0, 0, '[]', '[]', '['pss1 gojekindonesi1 indonesiagarud1 indofoo1 bukalapa1 travelok1 kemenbumn']', '[]', neutral
0, 2, 1, 0, -2, -2, 0, 0, '[]', '[]', '['tiket']', '[]', negative
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['destinasianid']', '[]', positive
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['indonesiagarud1 kemenhub151 budikarya1 wishnutama']', '['#giainnochallenge']', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['kakkkila']', '[]', positive
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '['97akur']', '[]', negative
0, 0, 3, 0, 0, -1, 0, 0, '[]', '[]', '['garudaindonesia']', '[]', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['ini_talkshow']', '[]', negative
0, 0, 6, 0, 0, 0, 0, 0, '[]', '[]', '['kompasekonomi']', '[]', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['sriwijayaair']', '['#berbagik35eruan']', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['heymput']', '[]', positive
0, 2, 0, 0, -2, -2, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 1, 0, 0, -2, 0, 0, '[]', '[]', '['ilhamkabee1 nadawithluu1 buzzzlaitye1 wordfangs']', '[]', negative
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['sriwijayaair']', '['#promomuamalat']', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', positive
0, 0, 3, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', positive
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 3, 0, 0, 0, 0, 0, '[]', '[]', '['fistar']', '[]', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['ferdinandhaean1 indonesiagarud1 kemenbum1 kemenkeur1 kpk_ri']', '[]', neutral
0, 0, 0, 0, 0, -3, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['aprilpu31738093']', '[]', neutral
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['linkaj1 nuruliita61 myh_aprilia1 taj_uul']', '['#pakelinkaja']', negative
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['wuwu_norowisnu']', '[]', positive
0, 0, 1, 0, 0, 0, 0, 0, '[]', '[]', '['luisaoliveira99']', '[]', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '['#explorebintanwithscootai']', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['karmacameleon1 nctconfess']', '[]', neutral
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['citilink']', '['#citilinkqui1 #citilinkxblvckedition1 #seberapaindonesiakahkamu']', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', neutral
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '['adtyirvn']', '[]', negative
0, 1, 0, 0, -1, -2, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['nanaamandaswag']', '[]', positive
0, 1, 1, 0, -1, -2, 0, 0, '[]', '[]', '['indoflye1 indonesiagaruda']', '[]', negative
0, 1, 1, 0, -2, -3, 0, 0, '[]', '[]', '['lenteramalam1 wongndesobrav1 _krakataustee1 indonesiagarud1 posindonesi1 bpjskesehatanri']', '[]', negative
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['citilink']', '[]', neutral
0, 1, 1, 0, -2, -2, 0, 0, '[]', '[]', '['ipul_ghozi']', '[]', negative
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['sriwijayaai1 roomiko1 daisymo1 krisnaerl1 detikco1 kapanlagico1 kumpara1 cnnindonesi1 kompasco1 alvinlie21 citilink']', '[]', neutral
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['bazingayeeha']', '[]', positive
0, 0, 1, 0, 0, 0, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', neutral
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '[]', '['#sunndaystories']', positive
